Project,Year,Type,Title,Authors,DOI,Publisher,Journal,ScopusCiteScore,ScopusQuartile,JCRImpactFactor,JCRQuartile,Conference,ConferenceRank,ConferenceLocation
"iCare4NextG",2023,"Poster","Chatbots inteligentes para monitorização remota de COVID-19","Sofia Malpique, Eva Maia, Rita Ribeiro, Isabel Praça","https://doi.org/10.51126/revsalus.v5iSup.636","RevSALUS","-",-,"-",-,"-","5a Reunião Internacional da Rede Académica das Ciências da Saúde da Lusofonia","D","Mindelo, Cape Verde"
"iCare4NextG",2023,"Poster","GECA: um chatbot inteligente para cuidados preventivos","Eva Maia, Pedro Vieira, Isabel Praça","https://doi.org/10.51126/revsalus.v5iSup.635","RevSALUS","-",-,"-",-,"-","5a Reunião Internacional da Rede Académica das Ciências da Saúde da Lusofonia","D","Mindelo, Cape Verde"
"ForPharmacy",2023,"Data Article","IFEED: A Conversation-based Facial Expression and Emotion Detection Dataset","Tiago Dias, João Vitorino, Jorge Oliveira, Nuno Oliveira, Eva Maia, Isabel Praça","-","Elsevier","Data in Brief",2.6,"Q2",1.2,"Q3","-","-","-"
"ForPharmacy",2023,"Data Article","KeyRecs: A Keystroke Dynamics and Typing Pattern Recognition Dataset","Tiago Dias, João Vitorino, Eva Maia, Orlando Sousa, Isabel Praça","-","Elsevier","Data in Brief",2.6,"Q2",1.2,"Q3","-","-","-"
"ForPharmacy",2023,"Dataset","IFEED Dataset","Tiago Dias, João Vitorino, Jorge Oliveira, Nuno Oliveira, Eva Maia, Isabel Praça","https://doi.org/10.5281/zenodo.7963451","Zenodo","-",-,"-",-,"-","-","-","-"
"ForPharmacy",2023,"Dataset","KeyRecs Dataset","Tiago Dias, João Vitorino, Eva Maia, Orlando Sousa, Isabel Praça","https://doi.org/10.5281/zenodo.7886742","Zenodo","-",-,"-",-,"-","-","-","-"
"ForPharmacy",2023,"Review Article","Knowledge and Beliefs about Herb/Supplement Consumption and Herb/Supplement-Drug Interactions among the General Population, including Healthcare Professionals and Pharmacists","Artemisa Dores, Miguel Peixoto, Maria Castro, Catarina Sá, Irene Carvalho, Andreia Martins, Eva Maia, Isabel Praça, António Marques","https://doi.org/10.3390/nu15102298","MDPI","Nutrients",9.0,"Q1",5.9,"Q1","-","-","-"
"ForPharmacy",2023,"Poster","Consumo de fármacos, suplementos e fitoterápicos, e risco de interações: revisão sistemática do impacto das crenças e do conhecimento","Artemisa Dores, Miguel Peixoto, Maria Castro, Catarina Sá, Irene Carvalho, Andreia Martins, Eva Maia, Isabel Praça, António Marques","https://doi.org/10.51126/revsalus.v5iSup.526","RevSALUS","-",-,"-",-,"-","5a Reunião Internacional da Rede Académica das Ciências da Saúde da Lusofonia","D","Mindelo, Cape Verde"
"ForPharmacy",2023,"Article","Reducing Herb-Drug Interaction Risks: A Clinical Decision Support System for Community Pharmacy","Andreia Martins, Flávio Costa, Eva Maia, Isabel Praça, Marlene Lages, Cátia Pontes, Maria Guarino","https://doi.org/10.2196/preprints.47649","JMIR","Journal of Medical Internet Research",12.1,"Q1",7.4,"Q1","-","-","-"
"ForPharmacy",2022,"Paper","Herb-Drug Interactions: A Holistic Decision Support System in Healthcare","Andreia Martins, Eva Maia, Isabel Praça","https://doi.org/10.1109/HealthCom54947.2022.9982729","IEEE","-",-,"-",-,"-","IEEE International Conference on E-health Networking, Application & Services (HealthCom 2022)","C","Genoa, Italy"
"Cybers SeC IP",2023,"Review Article","SoK: Realistic Adversarial Attacks and Defenses for Intelligent Network Intrusion Detection","João Vitorino, Isabel Praça, Eva Maia","https://doi.org/10.1016/j.cose.2023.103433","Elsevier","Computers & Security",11.1,"Q1",5.6,"Q2","-","-","-"
"Cybers SeC IP",2023,"Review Article","Constrained Adversarial Learning and its applicability to Automated Software Testing: a systematic review","João Vitorino, Tiago Dias, Tiago Fonseca, Eva Maia, Isabel Praça","-","Elsevier","Information and Software Technology",9.2,"Q1",3.9,"Q2","-","-","-"
"Cybers SeC IP",2023,"Article","Towards Adversarial Realism and Robust Learning for IoT Intrusion Detection and Classification","João Vitorino, Isabel Praça, Eva Maia","https://doi.org/10.1007/s12243-023-00953-y","Springer","Annals of Telecommunications",4.6,"Q2",1.9,"Q3","-","-","-"
"Cybers SeC IP",2023,"Paper","Data Privacy with Homomorphic Encryption in Neural Networks Training and Inference","Ivone Amorim, Eva Maia, Pedro Barbosa, Isabel Praça","https://doi.org/10.1007/978-3-031-38318-2_36","Springer","-",-,"-",-,"-","20th International Conference on Distributed Computing and Artificial Intelligence (DCAI 2023)","C","Guimarães, Portugal"
"Cybers SeC IP",2023,"Paper","TestLab: An Intelligent Automated Software Testing Framework","Tiago Dias, Arthur Batista, Eva Maia, Isabel Praça","https://doi.org/10.1007/978-3-031-38318-2_35","Springer","-",-,"-",-,"-","20th International Conference on Distributed Computing and Artificial Intelligence (DCAI 2023)","C","Guimarães, Portugal"
"Cybers SeC IP",2023,"Paper","Unravelling Network-based Intrusion Detection: A Neutrosophic Rule Mining and Optimization Framework","Tiago Dias, João Vitorino, Tiago Fonseca, Isabel Praça, Eva Maia, Maria João Viamonte","-","Springer","-",-,"-",-,"-","4th International Workshop on Cyber-Physical Security for Critical Infrastructures Protection (CPS4CIP 2023)","D","The Hague, Netherlands"
"Cybers SeC IP",2023,"Paper","A Low-Cost Multi-Agent System for Physical Security in Smart Buildings","Tiago Fonseca, Tiago Dias, João Vitorino, Luís Lino Ferreira, Isabel Praça","-","Springer","-",-,"-",-,"-","2nd International Conference on Computing and Communication Networks (ICCCN 2022)","D","Manchester, England"
"Cybers SeC IP",2022,"Paper","A Multi-policy Framework for Deep Learning-based Fake News Detection","João Vitorino, Tiago Dias, Tiago Fonseca, Nuno Oliveira, Isabel Praça","https://doi.org/10.1007/978-3-031-20859-1_13","Springer","-",-,"-",-,"-","19th International Conference on Distributed Computing and Artificial Intelligence (DCAI 2022)","C","L'Aquila, Italy"
"Cybers SeC IP",2022,"Paper","A Scalable, Real-Time Packet Capturing Solution","Rafael Oliveira, João Almeida, Isabel Praça, Rui Lopes, Tiago Pedrosa","https://doi.org/10.1007/978-3-030-91885-9_46","Springer","-",-,"-",-,"-","International Conference on Optimization, Learning Algorithms and Applications (OL2A 2021)","D","Bragança, Portugal"
"VALU3S",2023,"Paper","Adversarial Robustness and Feature Impact Analysis for Driver Drowsiness Detection","João Vitorino, Lourenço Rodrigues, Eva Maia, Isabel Praça, André Lourenço","https://doi.org/10.1007/978-3-031-34344-5_13","Springer","-",-,"-",-,"-","21st International Conference on Artificial Intelligence in Medicine (AIME 2023)","B","Portoroz, Slovenia"
"VALU3S",2023,"Poster","Adversarially Robust Driver Drowsiness Detection: VALU3S Case Study","João Vitorino, Lourenço Rodrigues, Eva Maia, Isabel Praça, André Lourenço","https://doi.org/10.1007/978-3-031-34344-5_13","Springer","-",-,"-",-,"-","21st International Conference on Artificial Intelligence in Medicine (AIME 2023)","B","Portoroz, Slovenia"
"CyberFactory#1",2022,"Article","Holistic Security and Safety for Factories of the Future","Eva Maia, Sinan Wannous, Tiago Dias, Isabel Praça, Ana Raquel Faria","https://doi.org/10.3390/s22249915","MDPI","Sensors",6.8,"Q1",3.9,"Q2","-","-","-"
"CyberFactory#1",2022,"Paper","Multiple Domain Security Awareness for Factories of the Future","Sinan Wannous, Tiago Dias, Eva Maia, Isabel Praça, Ana Raquel Faria","https://doi.org/10.1007/978-3-031-18697-4_3","Springer","-",-,"-",-,"-","20th International Conference on Practical Applications of Agents and Multi-Agent Systems (PAAMS 2022)","B","L'Aquila, Italy"
"CyberFactory#1",2022,"Paper","A Hybrid Approach for an Interpretable and Explainable Intrusion Detection System","Tiago Dias, Nuno Oliveira, Norberto Sousa, Isabel Praça, Orlando Sousa","https://doi.org/10.1007/978-3-030-96308-8_96","Springer","-",-,"-",-,"-","21st International Conference on Intelligent Systems Design and Applications (ISDA 2021)","C","Online"
"CyberFactory#1",2021,"Paper","A Search Engine for Scientific Publications: A Cybersecurity Case Study","Nuno Oliveira, Norberto Sousa, Isabel Praça","https://doi.org/10.1007/978-3-030-86261-9_11","Springer","-",-,"-",-,"-","18th International Conference on Distributed Computing and Artificial Intelligence (DCAI 2021)","C","Salamanca, Spain"
"CyberFactory#1",2020,"Article","A New Concept of Digital Twin Supporting Optimization and Resilience of Factories of the Future","Adrien Bécue, Eva Maia, Linda Feeken, Philipp Borchers, Isabel Praça","https://doi.org/10.3390/app10134482","MDPI","Applied Sciences",4.5,"Q1",2.7,"Q2","-","-","-"
"CyberFactory#1",2020,"Paper","FullExpression Using Transfer Learning in the Classification of Human Emotions","Ricardo Rocha, Isabel Praça","https://doi.org/10.1007/978-3-030-58356-9_8","Springer","-",-,"-",-,"-","11th International Symposium on Ambient Intelligence (ISAmI 2020)","D","L'Aquila, Italy"
